gender,competition_level,weekly_distance,monthly_distance,long_run_distance,target_time_seconds,distance_km,target_pace,vdot
1,1.0,190.0,823.0,40.5,0.0,0.0,0.0,85.0
1,1.0,190.0,823.0,40.5,0.0,0.0,0.0,84.2
1,1.0,185.0,801.5,40.5,0.0,0.0,0.0,83.4
1,1.0,185.0,801.5,40.5,0.0,0.0,0.0,82.6
1,1.0,180.0,779.5,38.5,0.0,0.0,0.0,81.8
1,1.0,180.0,779.5,38.5,0.0,0.0,0.0,81.0
1,1.0,175.0,758.0,38.5,0.0,0.0,0.0,80.2
1,1.0,175.0,758.0,38.5,0.0,0.0,0.0,79.4
1,1.0,170.0,736.5,38.5,0.0,0.0,0.0,78.7
1,1.0,170.0,736.5,38.5,0.0,0.0,0.0,77.9
1,1.0,165.0,714.5,36.0,0.0,0.0,0.0,77.2
1,1.0,165.0,714.5,36.0,0.0,0.0,0.0,76.5
1,1.0,160.0,693.0,36.0,0.0,0.0,0.0,75.8
1,1.0,160.0,693.0,36.0,0.0,0.0,0.0,75.1
1,1.0,155.0,671.5,36.0,0.0,0.0,0.0,74.4
1,1.0,155.0,671.5,36.0,0.0,0.0,0.0,73.7
1,1.0,150.0,649.5,34.0,0.0,0.0,0.0,73.0
1,1.0,150.0,649.5,34.0,0.0,0.0,0.0,72.4
1,1.0,145.0,628.0,34.0,0.0,0.0,0.0,71.7
1,1.0,145.0,628.0,34.0,0.0,0.0,0.0,71.1
1,1.0,140.0,606.5,34.0,0.0,0.0,0.0,70.5
1,1.0,140.0,606.5,34.0,0.0,0.0,0.0,69.9
1,1.0,135.0,584.5,32.0,0.0,0.0,0.0,69.3
1,1.0,135.0,584.5,32.0,0.0,0.0,0.0,68.7
1,1.0,130.0,563.0,32.0,0.0,0.0,0.0,68.1
1,1.0,130.0,563.0,32.0,0.0,0.0,0.0,67.5
1,1.0,125.0,541.5,31.5,0.0,0.0,0.0,67.0
1,1.0,125.0,541.5,31.5,0.0,0.0,0.0,66.4
1,1.0,120.0,519.5,31.5,0.0,0.0,0.0,65.9
1,1.0,120.0,519.5,31.5,0.0,0.0,0.0,65.3
1,1.0,117.5,509.0,29.5,0.0,0.0,0.0,64.8
1,1.0,115.0,498.0,29.5,0.0,0.0,0.0,64.3
1,1.0,112.5,487.0,29.5,0.0,0.0,0.0,63.8
1,1.0,110.0,476.5,29.5,0.0,0.0,0.0,63.3
1,1.0,107.5,465.5,28.5,0.0,0.0,0.0,62.8
1,1.0,105.0,454.5,28.5,0.0,0.0,0.0,62.3
1,1.0,102.5,444.0,28.5,0.0,0.0,0.0,61.8
1,1.0,100.0,433.0,28.5,0.0,0.0,0.0,61.4
1,1.0,97.5,422.0,28.5,0.0,0.0,0.0,60.9
1,1.0,97.5,422.0,28.5,0.0,0.0,0.0,60.5
0,1.0,92.5,400.5,26.0,0.0,0.0,0.0,60.0
0,1.0,92.5,400.5,26.0,0.0,0.0,0.0,59.6
0,1.0,87.5,379.0,26.0,0.0,0.0,0.0,59.1
0,1.0,87.5,379.0,26.0,0.0,0.0,0.0,58.7
0,1.0,85.0,368.0,26.0,0.0,0.0,0.0,58.3
0,1.0,82.5,357.0,24.0,0.0,0.0,0.0,57.8
